id,sum_credit_personal_loan,sum_current_balance_personal_loan,max_credit_card_limit,sum_current_balance_auto_loan,median_credit_cc,pin,avg_credit_card_limit,sum_credit,sum_credit_auto_loan,sum_credit_wcc,total_count_of_emi,max_credit_card_limit_open,max_high_credit_taken_last_3_months_open,avg_credit_cc,max_high_credit_taken_last_year,primary_disbursed_amount,no_of_inquiries_last_year,no_of_unsecured_inquiries_last_6months,max_count_of_emi,max_high_credit,sum_current_balance_ul,sum_credit_ul,max_current_balance,min_credit_card_limit,high_credit_cc_min,max_high_credit_taken_last_3months,no_of_unsecured_inquiries_last_month,high_credit_cc_max,max_high_credit_taken_last_6months,age,max_high_credit_taken_last_year_open,max_uti_cc_credit,sum_current_balance_since_2021,max_high_credit_taken_open,score_value,median_credit_card_limit,sum_current_balance_ul_open,sum_current_balance_secured_loans,sum_credit_secured_loan,mean_bounces_count_loan,sum_current_balance_cc,sum_credit_consumer_loan,no_of_consumer_closed_loans,sum_of_emi_consumer_loan,highest_availed_secured_loan,sum_of_emi_personal_loan,avg_credit_card_cc,no_of_inquiries,sum_of_emi_secured_loan,sum_credit_cc,total_bounces_count_loan_percent,max_dpd_credit_card_loan,count_of_delayed_days_less_than_equal_to_30,sum_of_emi,sum_overdue_amt_wcc,no_of_secured_loans,no_of_personal_loans_closed,dpd_gt_30_loan_count_percentage,sum_of_emi_wcc,no_of_cc_open_loans,no_of_unsecured_inquiries_last_3months,avg_uti_cc_current_balance,no_of_secured_loans_closed,no_of_inquiries_last_3_months,no_of_wcc_open_loans_lst_3months,no_of_auto_loans,no_of_wcc_open_loans,excluding_gold_loan_overdraft_after_2015_overdue_amt_sum,no_of_wcc_closed_loans,total_bounces_count_loan,sum_current_balance_wcc,count_of_repayment_string_present_since_2021,bounces_count,no_of_inquiries_last_6_months,sum_overdue_amt_secured_loan,max_dpd_personal_loan,score_comments,score_type,gender,marital_status,city,state,residence_ownership,target_income,device_model,device_category,platform,device_manufacturer,ntlr
LOA-LCTEB3CH,-0.0256021047942576,0.2310694823284579,-0.3832258657944261,,-0.5214926482598174,682012,-0.234521637679986,-0.013010659077525,,-0.0103674753157424,0.1524547547827837,-0.4172952560825534,0.1542906515775772,-0.5585527380096124,-0.016220154966125,0.0370804360038648,0.7330992253515222,0.3500999293529785,0.9100822398882922,-0.020235711168656,0.1767009005529906,-0.0077994685688498,0.1493408056251138,0.2365694550866939,-0.7004475386827835,0.1542023279537836,-0.533602570532462,-0.360499025377231,-0.021955468780497,28.0,-0.015956758881653,-0.0300721939582332,0.0496816749196681,-0.0195586349666256,0.162220940992087,-0.194424182019038,0.1663023749674663,-0.0259073104322699,-0.095486774160237,,-0.3202187701365558,,,,-0.0421671583447935,-0.2145053738413779,-0.5585527380096124,0.536514028428559,-0.2028938919792117,-0.4000503808412096,,-0.3851586516793177,,-0.0528436820850477,-0.0945880877911059,-0.2907898601972903,-0.5536918799352231,,-0.0528408231875848,-0.2088277620862665,0.0758688430988871,-0.008368292056933,-0.4057740217488728,0.4640558683649253,-0.0430695215395865,,0.7486885852987191,-0.1053029257796703,-0.5543642067685762,,0.3200467579130441,1.0512036139536256,,0.2547937104863805,-0.0736660962153034,-0.4480442261859124,J-High Risk,PERFORM CONSUMER 2.0,FEMALE, ,Kaloor,Kerala,,44000.0,,,,,15.296571530357786
LOA-QDPJHBSQ,-0.135636436279941,-0.4234407816073519,,,,421004,,-0.0947649946200194,,-0.0897569296505486,-0.9149400970037532,,,,-0.0351124578669572,-0.0696233336210678,,,-1.4782309708887775,-0.0478960956916412,-0.3950844628831287,-0.114148052515629,-0.3482433447039702,,,,,,,37.0,-0.0346340438738521,,-0.3805285784460639,-0.0683436787391648,1.007275845597149,,-0.3992542141061017,,,,,,,,,,,,,,,,,,-0.0945880877911059,,,,,,,,,,,,-1.1781619186300594,-0.1053029257796703,,,-0.3790098571607197,-1.3765985441180106,,,,-0.4480442261859124,D-Very Low Risk,PERFORM CONSUMER 2.0,FEMALE, ,Thane,Maharashtra,,31515.0,Moto E32,SMART PHONE,ANDROID,motorola,28.700114945079985
LOA-JUML6KBY,,,,,,110084,,-0.0932620419183207,,-0.0882501120365129,-0.865606721501014,,,,,-0.0690825137040636,0.5217683574155002,-0.1865373732907169,-1.137043369349196,-0.0472814204800193,-0.4124185650567569,-0.1111255878033279,-0.3639974344368691,,,,,,,28.0,,,-0.3911698115138053,-0.0672595666553306,1.5236982873002425,,-0.4163994863128905,,,,,-0.2775196756575269,-0.5916326186279912,-0.0040544110296519,,,,0.1998582857555873,,,,,,-0.1504556612978241,-0.0945880877911059,,,,-0.150424102220696,,-0.6665134484776862,,,1.3589849776435703,,,-1.1781619186300594,-0.1053029257796703,-0.6866568683973001,,-0.3889015793179662,-1.029769664393491,,1.1512074907540324,,,B-Very Low Risk,PERFORM CONSUMER 2.0,MALE, ,Central Delhi,Delhi,,19100.0,RMX1801,SMART PHONE,ANDROID,oppo,24.17078169090313
LOA-F43PQMC5,-0.0213847431549887,-0.2198470308700503,,,,401105,,-0.0559501575746101,,-0.0508422784577048,-0.2556668061944215,,-0.1694555561526313,,-0.0321504922167578,-0.0552956078878418,-0.9575477181366536,,-1.3929340705038822,-0.0444293274980937,-0.2511421640413739,-0.0360907223342662,-0.335977968201454,,,-0.1704034276790396,,,-0.2020306206264245,36.0,-0.031705789077374,,-0.2921638316054724,-0.0653862209744651,0.578041608337435,,-0.256879958376406,,,,,,,,,-0.0759222762042581,,-0.9784368135998136,,,,,,-0.0817835542139102,-0.0945880877911059,,0.6114870287881041,,-0.0817721863246587,,,,,-0.8783377955530423,-0.0430695215395865,,0.0480156747791632,-0.1053029257796703,0.5304356185869603,,-0.2968690452192637,-1.2898913241868806,,-0.940424663203822,,-0.4480442261859124,H-Medium Risk,PERFORM CONSUMER 2.0,, ,Thane,Maharashtra,,15000.0,V2311,SMART PHONE,ANDROID,vivo,19.116246185632573
LOA-151UELMQ,-0.1061877456530431,-0.2277954014741383,,0.3848198189454433,,783123,,-0.0259369610742324,0.8595045042897959,-0.0207519016353547,-0.3857275234289155,,-0.2097115001041478,,-0.019520879151098,-0.0174905650655124,-0.7462168502006316,-0.7231746759344125,0.9100822398882922,0.0029990118306514,-0.2419836310029925,-0.0919902934198729,-0.0764057552613089,,,-0.2107662513757549,-0.533602570532462,,-0.0225725871898388,26.0,-0.0192199167193705,,-0.0922852686869687,0.0103585220988631,0.5512144685087029,,-0.2478211943063053,-0.1689370129868942,-0.0125105729931566,-0.622594545585924,,-0.5498089962356411,,-0.475863635399983,-0.0122387060001657,-0.4066498967310257,,-0.6417810709268419,,,0.7569794841142236,,-0.1290834852968313,-0.1527486434457555,-0.0945880877911059,-0.2907898601972903,-0.5807890638590213,,-0.1527164101788389,,-0.6665134484776862,,-0.4057740217488728,-0.4308732409137197,-0.3389285962264115,0.476031184142396,-0.4774890081105036,-0.1053029257796703,-0.580822739094321,-0.2080005991758108,-0.1110688473480989,1.0512036139536256,-0.5159073711138025,-0.6416200697812713,-0.0736660962153034,-0.4480442261859124,H-Medium Risk,PERFORM CONSUMER 2.0,MALE, ,Goalpara,Assam,,35042.0,,,,,
LOA-S44LDRNA,0.3592051895599806,1.4804793929029878,2.4477246060638422,-0.3756469968145624,0.0304781226614709,382481,2.4036997994590408,0.1821157328502644,-0.377171618910891,0.0851032972723737,2.453183994137797,2.316126637258752,0.252843591082731,0.8288024490213327,0.024604591532225,0.1966376708057526,0.7330992253515222,1.4233745346403694,0.9100822398882922,0.0084573277098538,2.911451707021739,0.4374625821203772,0.1082890295127613,-0.4709895810118273,-0.7004475386827835,0.2530169260372481,-0.533602570532462,2.816528063160101,0.0500221368930798,43.0,0.0244033512164324,-0.0298439488257192,1.112235871394028,0.0310477171067551,-0.065809747552136,1.922042864002904,2.619582314394676,-0.3511508733803672,-0.1267143456606657,-0.6643014785093351,5.07827243811952,-0.2213277231217353,0.1006540903256516,,-0.0758960490823898,-0.0731874833112584,0.8288024490213327,0.536514028428559,-0.2192871964805729,3.819745927516953,-0.4857900665327104,-0.3490035158031888,-0.2401323582135339,-0.0750580750792295,-0.0945880877911059,-0.409077865928791,-0.4994975120876264,,-0.0774944147807226,5.155344613395317,1.560633426252034,-0.008053012963209,-0.4057740217488728,0.9115204230042478,-0.0430695215395865,-0.4896699386352821,0.0480156747791632,-0.1053029257796703,-0.3956130128141074,-0.2080005991758108,0.3891352771552567,1.0512036139536256,-0.5415349965353442,0.5535983039089312,-0.0736660962153034,-0.4480442261859124,J-High Risk,PERFORM CONSUMER 2.0,MALE, ,Ahmedabad,Gujarat,,55417.0,CPH2487,SMART PHONE,ANDROID,oneplus,32.11152564486733
LOA-H1MEUALR,-0.131830810620384,-0.4234926752130369,,,,600107,,-0.0671482736786945,,-0.0620691910349134,-0.0762727134571884,,-0.1987209744154994,,-0.0246891183354636,-0.0470098141034035,-0.7462168502006316,-0.7231746759344125,0.5688946383487108,-0.0413805384484491,-0.3630150744539575,-0.1048610728028833,-0.2544218285664627,,,-0.1997465457829756,-0.533602570532462,,-0.2688336884376707,21.0,-0.0243293349126388,,-0.2067026895899617,-0.0579362027343565,0.2427023604782834,,-0.3675341752707535,-0.2065674665464185,-0.0845012496089775,,,-0.2684408123389791,,-0.4518257150582216,-0.0694036334944018,-0.4422832352405556,,-0.8101089422633277,,,,,,-0.1601669823436398,-0.0945880877911059,0.3006501684602133,-0.5807890638590213,,-0.1601325679135002,,-0.6665134484776862,,-0.0725758610900936,-0.8783377955530423,-0.0430695215395865,,0.7486885852987191,-0.1053029257796703,-0.5279056744428314,,-0.2174273238814341,0.7043747342291061,,-0.6416200697812713,-0.0736660962153034,-0.4480442261859124,I-Medium Risk,PERFORM CONSUMER 2.0,MALE, ,Chennai,Tamil Nadu,,15671.0,,,,,39.788274871957796
LOA-3J2D1X13,-0.1373854396920109,-0.4375082732151311,,,,508243,,-0.095149470892547,,-0.090142394621581,-0.5875458777583028,,-0.2295615101696752,,-0.038369751470549,-0.0707590554467767,-0.7462168502006316,-0.7231746759344125,0.0571132360393387,-0.0497401213265069,-0.4031316199377172,-0.1149212411629618,-0.3593666573771855,,,-0.2306689633235324,,,-0.2904019768441654,24.0,-0.0378542654242312,,-0.3854686481937128,-0.0715960149906675,-0.4212693502828367,,-0.4072137090259832,,,-0.622594545585924,,-0.6476514042018838,,,,-0.4057079125123258,,-0.8101089422633277,,,0.944153731226584,,-0.462230104046939,-0.1552650559407786,-0.0945880877911059,,-0.5536918799352231,-0.1966554217743318,-0.1552320827903836,,,,,-0.8783377955530423,-0.6347876709132365,,-0.4774890081105036,-0.1053029257796703,-0.6072812714200657,-0.2080005991758108,-0.383601975110781,0.184131414642327,-0.5159073711138025,-0.6416200697812713,,0.0379353179959789,K-High Risk,PERFORM CONSUMER 2.0,MALE, ,Nalgonda,Telangana,,22826.0,RMX3771,SMART PHONE,ANDROID,realme,0.7781012563765807
LOA-J67VDT5R,-0.0903816931705057,-0.3339935032749493,,,,761101,,-0.0603478670845573,,-0.0552512968809133,-0.2332425446022674,,-0.2295615101696752,,-0.0331580817048021,-0.0484293582215562,0.7330992253515222,1.4233745346403694,0.6541915387336061,-0.0399053179405566,-0.3293497073080328,-0.0623425856075266,-0.3396181229858437,,,-0.2306689633235324,0.7214505875425179,,-0.2163477677231534,24.0,-0.0327019109436246,,-0.3260977187645219,-0.0542502216493202,0.9536215659396848,,-0.3342355435979515,-0.3379465877203862,-0.1141617322011859,,,0.5910476052178618,-0.3608703823101102,0.0361128498011702,-0.0732040718873704,-0.2072632371062119,,0.7048418997650449,,,,,,-0.097218303140783,-0.0945880877911059,0.0640741569972118,-0.4182059603162315,,-0.0972023970783395,,0.8182511346754606,,-0.0725758610900936,1.3589849776435703,-0.6347876709132365,,0.0480156747791632,-0.1053029257796703,-0.316237415836873,,-0.3284128128781291,0.7910819541602361,,1.1512074907540324,-0.0736660962153034,-0.4480442261859124,E-Low Risk,PERFORM CONSUMER 2.0,FEMALE, ,Ganjam,Odisha,,15982.0,CPH2375,SMART PHONE,ANDROID,oppo,1.8006766721083254
LOA-EQM66E5X,-0.1333318670781546,-0.4129950312296726,,,,560093,,-0.0917246261616482,,-0.0867087427441647,-0.708636890355935,,-0.2516219792356093,,-0.0394555160050796,-0.066595499233728,0.0991066215434562,0.3500999293529785,-0.7958557678096146,-0.0469995304279695,-0.3844323750494713,-0.108033817272275,-0.3564878784789964,,,-0.2527880030521138,0.7214505875425179,,-0.3058299370777096,27.0,-0.038927672607691,,-0.3739893675794952,-0.0667623928536843,0.0146716719340603,,-0.3887181653595717,,,-0.7477153443561575,,-0.398403847322577,,,,-0.3776307054775286,,0.3681861570920732,,,-0.3941702398681016,,-0.5732789769636415,-0.1490090062222099,-0.0945880877911059,,-0.28272004069724,,-0.1489778724951353,,0.0758688430988871,,,0.0165913137256027,-0.3389285962264115,,-0.1271525528507257,-0.1053029257796703,-0.3426959481626178,-0.4529426735712241,-0.3729312329441492,-0.6829407846689717,-0.6184178727999695,0.2547937104863805,,-0.4438547473567582,J-High Risk,PERFORM CONSUMER 2.0,MALE, ,Bengaluru,Karnataka,,14742.0,SM-A146B/DS,SMART PHONE,ANDROID,samsung,44.694468720607496
